roundness,finalCellRound2,finalCellRound3,finalCellRound4,finalCellRound5,finalCellRound6,finalCellRound7,finalCellRound8,finalCellRound9,finalCellRound10,finalCellRound11,finalCellRound12,finalCellRound13,finalCellRound14,finalCellRound15,finalCellRound16,finalCellRound17,finalCellRound18,finalCellRound19,finalCellRound20,finalCellRound21,finalCellRound22,finalCellRound23,finalCellRound24,finalCellRound25,finalCellRound26,finalCellRound27,finalCellRound28,finalCellRound29,finalCellRound30,finalCellRound31,finalCellRound32,finalCellRound33,finalCellRound34,finalCellRound35,finalCellRound36,finalCellRound37,finalCellRound38,finalCellRound39,finalCellRound40,finalCellRound41,finalCellRound42,finalCellRound43,finalCellRound44,finalCellRound45,finalCellRound46,finalCellRound47,finalCellRound48,finalCellRound49,finalCellRound50,finalCellRound51,finalCellRound52,finalCellRound53,finalCellRound54,finalCellRound55,finalCellRound56,finalCellRound57,finalCellRound58,finalCellRound59,finalCellRound60,finalCellRound61,finalCellRound62,finalCellRound63,finalCellRound64,finalCellRound65,finalCellRound66,finalCellRound67,finalCellRound68,finalCellRound69,finalCellRound70,finalCellRound71,finalCellRound72,finalCellRound73,finalCellRound74,finalCellRound75,finalCellRound76,finalCellRound77,finalCellRound78,finalCellRound79,finalCellRound80,finalCellRound81,finalCellRound82,finalCellRound83,finalCellRound84,finalCellRound85,finalCellRound86,finalCellRound87,finalCellRound88,finalCellRound89,finalCellRound90,finalCellRound91,finalCellRound92,finalCellRound93,finalCellRound94,finalCellRound95,finalCellRound96,finalCellRound97,finalCellRound98,finalCellRound99,finalCellRound100,finalCellRound101,finalCellRound102,finalCellRound103,finalCellRound104,finalCellRound105,finalCellRound106,finalCellRound107,finalCellRound108,finalCellRound109,finalCellRound110,finalCellRound111,finalCellRound112,finalCellRound113,finalCellRound114,finalCellRound115,finalCellRound116,finalCellRound117,finalCellRound118,finalCellRound119,finalCellRound120,finalCellRound121,finalCellRound122,finalCellRound123,finalCellRound124,finalCellRound125,finalCellRound126,finalCellRound127,finalCellRound128,finalCellRound129,finalCellRound130,finalCellRound131,finalCellRound132,finalCellRound133,finalCellRound134,finalCellRound135,finalCellRound136,finalCellRound137,finalCellRound138,finalCellRound139,finalCellRound140,finalCellRound141,finalCellRound142,finalCellRound143,finalCellRound144,finalCellRound145,finalCellRound146,finalCellRound147,finalCellRound148,finalCellRound149,finalCellRound150,finalCellRound151,finalCellRound152,finalCellRound153,finalCellRound154,finalCellRound155,finalCellRound156,finalCellRound157,finalCellRound158,finalCellRound159,finalCellRound160,finalCellRound161
0.147143855,1,0.023712628,0.043264715,0.012136309,-0.002780599,-0.022672626,-0.012270698,-0.006875098,-0.003244894,-0.005380147,-0.005374747,0.000906636,-0.002033752,0.002672693,0.003462212,-0.001481473,-0.000165056,0.002447768,-0.000209436,0.000624801,-0.001727789,-0.001407593,9.25E-05,0.000855526,-0.0002529,-0.002282581,0.000596967,-0.001348094,-0.000503609,-4.11E-06,-4.90E-05,0.000340379,0.000353961,-8.23E-05,-0.000857317,-0.000687371,0.000381819,-0.000232292,8.24E-05,1.77E-05,1.13E-16,0.007998742,-0.016590121,0.00863105,0.006146823,0.016289821,0.00083134,-0.015212084,-0.003215635,0.001974811,0.006756924,0.000570922,-0.003030849,-0.005473206,-0.003986716,0.00243718,0.003708214,0.003530097,0.001019051,-0.001850559,-0.001127857,-0.001463203,-0.000573477,0.000200504,0.000175286,-0.000512737,-0.000101232,-0.000660353,0.000551771,0.000560816,-0.000149103,0.001053408,2.60E-05,-0.000794779,-0.000311471,0.000850771,0.000677806,-0.000829931,5.12E-05,0.000162121,-4.93E-17,0.04100954,0.010153932,0.01699961,-0.016152554,0.022440363,0.001796683,0.014230864,-0.003369472,-0.001857455,-0.001691055,0.001671824,0.000295536,-0.003351385,-0.005166216,-0.005593876,-0.003380439,-0.002159872,-0.002011026,-0.002343931,-0.001237766,-0.000939086,-0.000728115,-0.000347291,-0.001476718,0.000248914,0.000692939,4.44E-05,0.001398916,-0.000498413,0.000803082,0.001011655,7.17E-06,0.000336975,-0.001046774,0.000225205,-0.000157436,0.000329349,-0.000683444,-0.000664312,0.899763283,-0.082290734,0.01308115,0.060022783,0.023193793,-0.012396459,-0.002607885,-0.001352264,-0.001677829,0.001404551,0.001923395,-0.002629829,-0.005604063,0.000106621,-0.002399848,0.003327561,0.005629976,-0.001908672,-0.0005254,0.002651401,0.000842044,-0.001325063,0.000655485,0.000442041,-0.001220556,0.001157989,0.000413529,-0.000112324,8.50E-05,-0.000984807,-0.001526144,-0.000475744,0.001202713,0.000148833,-0.000138024,-6.35E-05,-0.000898976,-0.000469929,0.000607911,-0.000271235
0.112581688,1,0.070586733,0.022753168,0.04062255,0.014971797,0.018732076,0.021647816,-0.007458158,0.005894965,0.002136105,-0.003328784,0.000802447,-0.002571583,0.002850025,-0.004151514,-0.000357715,0.000144624,0.002404721,-0.000611494,-0.000781587,0.0028134,-0.00173564,0.001106866,0.000115743,9.74E-05,0.000279897,-0.001156088,0.000302152,0.001161358,-0.001563039,0.000777124,0.000264092,0.000793549,-0.00028332,0.000814192,0.000593472,0.00021889,-0.000539674,0.000960646,-0.000306619,-1.40E-16,-0.054044383,-0.020300324,-0.00390133,-0.004977981,0.016098203,0.006871247,-0.001919728,-0.004617326,-0.009921676,-0.00557074,0.013299366,0.004870138,-0.001906553,0.005501361,0.007615584,0.002736761,-0.00022232,0.003118719,-3.97E-05,-0.001898186,-0.000352863,0.000702925,-0.00223146,0.001975103,0.002169783,-0.001449002,-0.002151272,9.50E-05,0.00138891,0.00091894,0.000160621,0.000916346,0.00124828,-0.000619842,0.000389032,0.001491798,-0.000201087,-0.001165173,-0.000400123,1.28E-16,-0.010373355,-0.025722762,-0.037812423,-0.01001975,-0.005458066,-0.002773535,0.000759367,-0.002877162,-0.002045159,-0.012382042,-0.00503443,-0.005123454,4.07E-05,-0.008102395,0.003751424,-0.001098567,-0.001257833,-0.00056836,0.003058902,-0.000962427,-0.00172581,-0.000762926,-0.000162209,-1.63E-05,-0.000770647,0.002976653,-0.000567889,8.04E-05,-0.000783262,0.000794949,-8.95E-05,-0.000485796,0.00018139,0.000903288,-0.000561827,0.000841236,0.000908263,0.000954486,-5.51E-05,0.787702669,-0.140773753,0.037473364,0.005529757,-0.03397794,0.024108968,0.013256581,0.002109293,0.007920067,0.000158561,0.005453187,0.002503437,-0.003217819,0.002498052,0.001114206,-0.00854569,-0.005263446,-0.001150193,-0.001886201,-0.000717879,-0.000420339,-0.000191506,0.000698095,0.002581045,0.000395949,-0.000752118,0.000634668,0.000781193,-0.001474616,0.000247672,0.00026514,-0.001040616,0.000347728,0.000101861,-0.001073275,0.001017493,0.000959175,0.000305936,0.000829276,0.000207518
0.147143855,1,0.014793516,0.045179225,0.017507251,0.021796016,0.007232912,0.002685732,-0.001389282,0.001552506,0.002376765,-0.005431684,-0.000937879,-0.003402974,0.000675932,-0.002334476,0.001117633,0.001136611,0.000366543,-0.00096588,0.001374802,-0.001241809,-0.002551803,0.001626257,-0.001007679,0.001545156,-0.000945211,0.000850332,-0.000368113,-0.00014178,-0.000248513,-0.00047155,-0.000997432,-0.001024318,-5.75E-05,-0.001219448,-0.000354181,-8.25E-05,0.000619358,-0.001034151,0.000538853,1.01E-16,-0.035702685,0.004969607,0.038894755,-0.001225795,-0.007020725,-0.005852066,0.005042535,-0.000419861,-0.002827944,0.003747897,0.000245119,0.000279688,-0.000883661,0.001310542,-0.003454415,-0.002065434,0.001834853,0.000530023,0.000867228,0.000327718,0.001350471,-0.004115407,0.000512145,0.001673566,0.00016755,-0.001914962,-4.21E-05,0.001607111,-0.001056825,9.59E-05,0.000202131,0.000815643,-0.000534612,0.000487407,0.000262421,-0.001256987,0.000747602,0.000116747,-0.001410189,-1.01E-16,-0.059482265,-0.000755086,-0.015278247,0.01224634,0.005944131,-0.000952559,-5.36E-05,-0.00573605,0.001531314,-0.000589461,0.000294192,0.002521825,0.001692807,0.004397305,-0.001014374,0.001957365,-0.001383806,-0.000881786,0.000210651,0.001788278,0.000853321,-0.000681826,0.001437626,-0.001391644,0.00120324,-0.000366082,-0.000335923,-0.000141871,-0.000993349,0.000904604,-0.0016789,0.001093813,-0.001128383,0.00179947,-0.000752549,0.00048549,0.000710305,0.000404928,-3.44E-05,0.986433615,-0.016392712,-0.039559515,-0.00119125,0.022641097,0.010582761,0.002031482,-0.001662301,0.006270667,0.000805766,0.001246422,-0.000518588,0.000275626,0.000358412,-0.00473975,0.001135962,0.000817403,-0.000147241,-0.001062301,0.002386346,-0.000622769,-0.000879394,-0.001266658,0.000922961,0.000725558,-0.001691943,0.001294225,0.000436073,0.000379555,0.000587384,0.001076103,-0.000604538,-0.000277278,-1.18E-05,4.79E-05,-0.000246756,-0.000472455,0.000431914,-0.000180212,0.000331249
0.077683115,1,-0.002385505,0.01253942,-0.018901722,0.004617591,-0.01240857,0.003668516,-0.001579397,-0.001549797,-0.00037797,-0.004834493,-0.00120381,0.001178805,-0.004258599,0.005127137,-0.002151396,0.001277968,-7.74E-05,-0.000781328,-0.000855609,0.000589428,-0.001265336,0.001241639,-0.001545605,0.001136899,-0.000816154,-0.001105385,0.000222356,-0.000147779,0.000442148,0.000865149,0.000947039,-0.000207409,0.001329686,-0.000544123,0.000849514,-0.000635441,0.00060921,-0.000321752,-8.54E-05,-5.04E-17,-0.026609338,0.020666642,0.036228208,-0.014460798,-0.005940574,0.001948471,-0.009680476,-0.000559342,0.003534285,-0.003589549,-0.000220997,-0.003119775,0.004035124,0.001376315,0.001897228,0.002394162,-0.000142465,-0.002366684,0.001098531,-0.000396707,-0.001095251,-0.00092469,0.001755691,-0.000476372,-0.000962741,0.001541193,-0.00120511,0.00035566,0.000321196,-0.000260467,-0.000599062,0.001209446,0.000185265,-0.000918288,0.000101605,-0.000496313,7.37E-06,-0.000222931,6.63E-05,0,-0.024292083,0.02693814,-4.45E-05,0.010575495,0.012479037,0.006551104,-0.001687249,0.005857824,-0.005962406,0.002738698,-0.006966713,-0.001041978,-0.001702146,-0.001155286,0.001662428,0.001299605,0.000913778,0.002985252,0.000991724,-0.000509993,0.001593389,-0.00237165,0.001452584,-0.002041161,0.001992133,-0.001007699,-0.000582982,0.00081748,-0.000294581,-0.000614422,-0.000129045,0.000626596,-0.001141719,0.001273215,-0.000614484,0.000603162,-4.33E-05,-0.000366629,0.000270807,0.854711616,0.030677041,0.02986217,0.010926564,-0.011580886,-0.007912477,0.005094501,0.001138928,0.002295013,0.001667727,-0.000531942,-0.002364777,-0.006952992,0.002606228,0.001918827,-0.004890029,0.002158038,0.001788011,0.001617652,-0.00033932,-0.000487287,8.02E-05,-0.001185149,-0.000928184,0.001845154,0.000328661,0.000209676,-0.001378078,-0.000329097,-0.000463548,0.00013369,0.000159915,0.001610601,-0.000381308,-0.000677277,6.32E-05,0.000252941,0.000166769,-0.000294819,0.000430127
0.113228839,1,0.023712628,0.043264715,0.012136309,-0.002780599,-0.022672626,-0.012270698,-0.006875098,-0.003244894,-0.005380147,-0.005374747,0.000906636,-0.002033752,0.002672693,0.003462212,-0.001481473,-0.000165056,0.002447768,-0.000209436,0.000624801,-0.001727789,-0.001407593,9.25E-05,0.000855526,-0.0002529,-0.002282581,0.000596967,-0.001348094,-0.000503609,-4.11E-06,-4.90E-05,0.000340379,0.000353961,-8.23E-05,-0.000857317,-0.000687371,0.000381819,-0.000232292,8.24E-05,1.77E-05,1.13E-16,0.007998742,-0.016590121,0.00863105,0.006146823,0.016289821,0.00083134,-0.015212084,-0.003215635,0.001974811,0.006756924,0.000570922,-0.003030849,-0.005473206,-0.003986716,0.00243718,0.003708214,0.003530097,0.001019051,-0.001850559,-0.001127857,-0.001463203,-0.000573477,0.000200504,0.000175286,-0.000512737,-0.000101232,-0.000660353,0.000551771,0.000560816,-0.000149103,0.001053408,2.60E-05,-0.000794779,-0.000311471,0.000850771,0.000677806,-0.000829931,5.12E-05,0.000162121,-4.93E-17,0.04100954,0.010153932,0.01699961,-0.016152554,0.022440363,0.001796683,0.014230864,-0.003369472,-0.001857455,-0.001691055,0.001671824,0.000295536,-0.003351385,-0.005166216,-0.005593876,-0.003380439,-0.002159872,-0.002011026,-0.002343931,-0.001237766,-0.000939086,-0.000728115,-0.000347291,-0.001476718,0.000248914,0.000692939,4.44E-05,0.001398916,-0.000498413,0.000803082,0.001011655,7.17E-06,0.000336975,-0.001046774,0.000225205,-0.000157436,0.000329349,-0.000683444,-0.000664312,0.899763283,-0.082290734,0.01308115,0.060022783,0.023193793,-0.012396459,-0.002607885,-0.001352264,-0.001677829,0.001404551,0.001923395,-0.002629829,-0.005604063,0.000106621,-0.002399848,0.003327561,0.005629976,-0.001908672,-0.0005254,0.002651401,0.000842044,-0.001325063,0.000655485,0.000442041,-0.001220556,0.001157989,0.000413529,-0.000112324,8.50E-05,-0.000984807,-0.001526144,-0.000475744,0.001202713,0.000148833,-0.000138024,-6.35E-05,-0.000898976,-0.000469929,0.000607911,-0.000271235
0.136824285,1,-0.061711147,0.031645764,-0.03033604,0.017601608,0.004582887,0.013525323,-0.004101264,-0.001524834,-0.011584354,-0.001247968,0.002840203,0.005780464,0.008357681,0.003803153,0.0003451,8.21E-05,-0.002927992,-0.005263905,0.000492567,-0.002764682,-0.002120959,-0.000157864,-0.001007666,-0.002772948,0.001900945,-0.000336011,0.00106451,-0.00038687,0.00045436,-0.000335592,0.000296911,0.000940717,-0.00094601,0.001010873,0.000944158,-0.000910029,-0.000668734,0.000144413,-0.000511379,4.71E-17,0.04099614,-0.004157564,-0.002333853,0.010109259,0.005230719,-0.000587387,-0.009920737,0.001240922,-0.008520081,-0.002808354,-0.002170314,0.002694493,0.005396492,-0.004479494,0.00141756,0.000510568,-0.003085582,0.003088842,-0.001189873,-0.003656253,-0.000537622,-0.000200938,0.003245898,0.000955949,-0.000334637,0.00098781,0.001906336,-3.76E-05,-0.001610114,1.63E-05,0.000586061,0.000252684,0.001091563,-0.001115867,-0.000645005,0.001489564,0.000561835,-0.000352083,-0.000471315,-9.43E-17,-0.005097271,-0.002407572,0.002557015,0.004805951,0.022827456,0.014695164,0.019778848,0.015466124,0.007069309,0.00746653,-0.002093066,0.002084472,-0.003863685,0.00038297,0.00074543,-0.003958981,0.000320176,-0.001581121,-0.002354506,-0.000740562,-0.00219581,-0.001165822,-0.000192625,-0.000242769,0.000314522,0.001394098,0.002168126,3.61E-05,0.000685861,0.000571296,-0.000730713,0.000409441,8.99E-05,-0.001035224,0.001064973,-8.37E-05,4.38E-05,0.000253592,0.000297978,0.800446606,0.034588126,0.045967318,-0.03258417,-0.015737222,0.000665828,0.008786814,0.012659294,0.005671688,-0.004025944,-0.000730311,-0.009427032,-0.003696304,0.002904709,0.00432765,-0.001382277,0.002391512,0.00036035,0.002957143,-0.004646485,-0.004011361,0.005770369,-0.001341541,-0.005952043,0.003379244,0.000731635,-0.002210803,0.001576708,0.000895093,0.000772023,-0.000116758,0.000594719,-0.002480681,-0.000585053,0.001813366,0.000222038,-0.00138505,0.000515669,0.00078337,0.000605008
0.123816349,1,-0.007596329,0.033373929,0.011911143,-0.003444175,0.019307136,0.006543137,0.011692217,0.013100787,0.009813982,0.003627975,0.002370082,0.000583363,0.000759455,0.000290763,-0.000415254,0.001821943,-0.002338405,0.000263856,-0.002654187,-0.001374667,-0.002076147,-0.002049359,4.23E-05,-0.000290286,0.000972557,0.000754062,0.000836516,-0.00026586,-0.000358028,-0.000174632,-0.000142473,-0.000764349,-0.000238138,-6.75E-05,-0.000274456,0.000201139,-0.000270522,0.00023537,-0.0005376,1.30E-16,-0.011755547,-0.024978112,0.020009859,0.006891243,-0.003066211,0.004403901,-0.000687416,0.001631776,-0.011078391,-0.000116655,0.003928605,-3.42E-05,0.001576033,-0.000146288,-0.002091017,-0.001564843,0.003884636,0.003630819,-0.00388147,-0.001931598,0.000456692,0.002884678,0.001766484,-0.000221021,0.001548878,-0.001882443,-0.001791578,0.000213642,-0.000687503,-0.000666455,-6.67E-06,0.000676173,4.84E-05,-0.000764854,-0.000489122,-7.01E-05,-0.000248036,-5.26E-05,5.59E-05,-4.34E-17,0.016576733,-0.011229852,0.018353815,-0.008612639,0.017901995,-0.000105986,0.01167623,0.004027124,0.001402758,0.002769377,-0.001910074,0.004104863,0.000851806,0.001585715,0.000748373,-0.000348239,0.000519401,0.000511928,0.000692956,0.000966718,-0.001275245,0.001383609,0.000767334,0.001877355,0.002450099,0.001068177,0.002022215,-0.0004455,0.000341958,-0.000564,-0.000428318,-0.000704886,3.36E-06,0.00014593,0.000328731,0.000195676,0.00024037,-0.000115356,-0.000355167,0.712439354,-0.026131403,0.050038324,-0.017861922,0.005624975,-0.005070511,-0.016161375,-0.000295441,-0.005007293,0.002254583,0.012425712,0.006030772,0.000793611,0.002975451,0.000318116,-0.001556671,-0.001001994,0.003603647,0.002862902,-0.001576004,0.002616949,0.001231032,-0.001667764,-0.002926838,-0.003121017,0.000454649,0.00131223,0.000655889,-4.49E-06,-0.000704994,-0.000459868,-0.000706658,-0.001018342,0.000275885,-0.000154267,0.000751123,0.000163575,-0.000270195,0.000164483,-0.000293827
0.146036531,1,0.042984441,0.003788761,0.025618554,0.002476032,0.017889785,-0.001754247,0.009635103,-0.009515905,0.000784196,0.000652669,-0.000921156,0.003839688,-0.000387796,-0.002282032,-0.001161234,-0.00252293,-0.004537188,0.001828361,-0.002241476,-0.00067627,0.001121499,-0.002820716,0.001200876,-0.000320178,-6.30E-05,0.001281597,7.63E-05,0.000850445,-0.000545057,0.00013094,-0.0002511,0.000411896,8.90E-06,0.000196915,0.000452258,-0.000252772,-3.50E-05,-0.000125055,-0.000100793,9.69E-17,0.047972593,-0.02632197,-0.011262372,0.012954718,-0.008729125,-0.006223426,-0.006261504,-0.004083652,0.008368841,0.003803254,-0.003450818,0.000235861,0.001166987,-0.002630966,-0.000116161,0.005550224,0.001663336,-0.003754298,-0.001038842,0.000824587,0.000374985,0.000385981,-0.000197946,0.000252511,0.000225364,-0.000181929,0.00014519,6.91E-05,0.000507673,0.000254623,-0.001311034,-0.000679317,0.000709489,-9.34E-05,-0.000228923,0.000171096,-0.000205482,-7.59E-05,0.000103554,-9.69E-17,0.042414505,-0.01460244,0.042434762,-0.0052306,0.004595097,0.000692084,-0.005102148,-0.003017225,0.003130029,-0.002378145,0.001908512,0.002159588,-0.00282186,-0.000449764,0.000785448,-0.000976772,0.002194223,0.000305004,6.74E-05,0.000572282,-0.000906326,-0.000752942,0.000524799,-0.000169039,0.000421688,0.000585299,-0.000517994,0.000795841,0.000233179,0.000211223,0.000250121,0.000529071,1.80E-05,-0.000315111,0.000305022,-0.00041069,0.000326817,-7.48E-05,3.40E-05,0.896038722,-0.033148348,0.031639367,-0.000553656,-0.01250923,1.92E-05,0.009750302,0.006710974,-0.002799842,0.00306296,0.000471359,-0.003169187,-0.000519481,0.002115695,0.005991193,0.000950251,-0.002812698,0.002531355,-0.001784382,-0.003002884,0.002379455,-0.00159492,-0.000359264,0.000434945,-0.002672753,-0.000220998,0.000136348,0.000927441,0.000358434,-0.000948266,0.000605465,-7.62E-05,-0.000185073,0.000395396,0.000132029,0.000151473,3.12E-05,-0.000123911,-3.09E-05,0.000346461
0.130513083,1,0.025490714,0.033822939,-0.013247781,0.009712285,-0.003771568,-0.01231454,0.012260045,-0.005000812,0.009255036,0.002433047,0.011295998,-0.001375617,0.005446597,-0.001289756,0.002234305,-0.002259662,-0.001539868,0.000348612,-0.000841054,0.000135665,0.001405911,0.000111974,-0.000825692,0.000286043,-0.001770598,0.000155865,-0.000533767,-0.000871098,-0.001245559,1.00E-05,-0.001365605,-0.001105508,-0.000153514,-0.000519575,-0.000253927,-0.000403885,6.13E-05,-0.000265588,-0.000489586,0,0.055528116,-0.030297978,-0.019661869,0.023185641,0.007060336,-0.007007744,0.007430396,0.014178894,-0.000308143,-0.003125979,0.010362665,-0.000970172,-0.000342932,0.006876057,0.002190554,0.000712801,0.004294684,-0.00355982,-0.004326575,0.000380986,0.001279679,-0.002011971,-0.000177652,0.001557061,-0.0005761,-0.001993884,-0.000630131,-0.000710107,-0.002851537,-0.001268359,-0.000222749,0.000491912,-0.000313746,-0.000799664,0.00066514,3.47E-05,-0.000541859,-0.000194489,-0.000288107,0,0.055735029,-0.031043551,0.020776825,-0.021104585,-0.005814263,-0.013299463,-0.002766174,-0.008433024,-0.003114757,0.001143461,0.002867536,-0.000485549,0.00580414,0.003319793,0.002683449,0.005200705,0.002817884,0.002006307,0.001540233,-0.000165538,-0.000685247,-0.000412267,0.000913306,-0.000386497,0.00093907,0.000166101,0.001541896,-0.000367069,0.000117521,-0.000406338,-0.000743423,-0.000298146,-0.000564078,-0.000352387,-0.000520358,-0.000390246,-2.14E-05,-0.000290984,-0.000140007,0.913244661,-0.033180409,-0.019479784,0.01979576,0.0123806,-0.005209248,0.00352501,-0.007895963,-0.008619684,0.00090001,-0.00451285,0.000738461,0.006601725,0.003354345,0.001213901,0.003483808,-0.000642142,0.003151978,0.000704915,-0.00337666,0.001172153,0.00406687,0.002510827,0.00221955,0.002100598,0.000534675,-0.000940001,-0.000518339,0.000229928,-0.000192687,5.32E-05,0.000143647,-0.000402717,5.18E-05,-0.000332372,-0.000809426,-0.000735956,-0.000158046,-0.000313304,-0.000372819
0.148249716,1,0.084451603,0.022111552,0.051899565,0.000111433,0.020619714,0.011005647,-0.00906238,0.003657137,-0.006389216,0.003922747,-0.002733192,-0.001230085,0.003893365,0.003566816,2.77E-05,0.001174503,-0.001627866,0.000739422,-0.002497117,0.0038289,-0.000413045,0.00456087,-0.001039852,0.000448039,-0.00205267,0.000692558,-0.000658409,-0.00011548,0.000703325,-1.36E-05,-0.00072152,-0.000512368,-0.00140916,-0.000441155,-0.00093446,-0.000493454,6.85E-05,-0.000292269,0.000375077,8.61E-17,0.069333344,-0.019458653,-0.047423461,-0.008700401,-0.019594354,-0.019219887,0.009012387,0.003890024,-0.008025065,0.002549186,-0.000242096,0.002562606,-0.002406794,-0.004281134,-0.003394609,0.001686693,0.001279584,-0.000150337,-0.000444017,0.00371328,0.000645006,0.002343837,0.002092874,0.000167035,-0.00064194,0.002175064,-5.00E-05,-0.000446844,-0.001224209,-0.00065194,-0.001125662,-4.24E-05,-0.001641898,-0.000247932,-0.000815286,-1.25E-05,-8.77E-06,0.000327541,8.59E-05,4.31E-17,0.061488341,0.024375508,0.028177425,0.01092567,0.008428259,-0.010576026,0.00264286,-0.011117422,0.011908452,-0.008402409,0.003521662,-0.003612768,0.001803374,-0.002071086,-0.005075519,-0.001945673,-0.001730118,-0.001201002,0.00034288,0.001981407,-2.08E-05,-0.000227283,-0.000103628,-0.00110332,0.00212116,-0.000721738,0.00214702,0.00071686,0.00122833,-0.000306859,0.000362207,2.15E-05,0.000133366,-0.000372055,0.000125264,-0.000393298,0.000212422,-0.001175418,-0.000436815,0.713622878,-0.139448457,0.03770496,0.033092471,-0.024951272,0.019279538,0.015512176,0.019565735,-0.001783937,-0.004464748,0.006855639,0.003917119,-0.006829365,0.003062598,-0.000478242,0.001720041,0.003025369,0.004301806,-7.24E-05,0.002856185,-0.001942992,-0.001118927,0.000938011,0.002709604,-0.000692153,-0.002408556,-0.002944169,-0.001100592,0.000255164,-0.000324562,-0.000893818,0.00046588,0.000829085,0.001082333,0.00012956,-0.000394328,-0.000175613,0.00010882,-0.000526579,-6.46E-05
